01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
NFLX,242.6700,248.2999,236.6800,236.8700,9093816,2022-09-21,242.8500,-5.9800,-2.4624%
NEM,43.1000,43.4000,41.8800,42.4000,9923570,2022-09-21,42.8000,-0.4000,-0.9346%
NKE,102.6700,103.6300,99.7700,99.7900,6127614,2022-09-21,102.4200,-2.6300,-2.5679%
NIO,20.1200,20.1600,18.2500,18.3000,63882764,2022-09-21,20.4100,-2.1100,-10.3381%
NSANY,7.5000,7.5000,7.2297,7.2297,53152,2022-09-21,7.4200,-0.1903,-2.5647%
NOK,4.5500,4.6300,4.5000,4.5000,19306601,2022-09-21,4.5900,-0.0900,-1.9608%
NMR,3.4100,3.5100,3.4100,3.4400,3728145,2022-09-21,3.4500,-0.0100,-0.2899%
NG,4.4300,4.6000,4.3350,4.4300,1875170,2022-09-21,4.4200,0.0100,0.2262%
NVS,79.0000,79.0300,77.5000,77.5400,2348934,2022-09-21,79.5800,-2.0400,-2.5635%
,,,,,,,,,
,,,,,,,,,
NVDA,132.1300,140.3100,131.1000,132.6100,80269044,2022-09-21,131.7600,0.8500,0.6451%
ORCL,68.7100,68.8800,66.7400,66.7500,6519037,2022-09-21,68.1100,-1.3600,-1.9968%
ORAN,9.6400,9.6450,9.5200,9.5400,832418,2022-09-21,9.7100,-0.1700,-1.7508%
PCAR,87.0100,87.7100,85.4600,85.4600,1297270,2022-09-21,86.5400,-1.0800,-1.2480%
PAAS,16.1500,16.5274,15.7450,16.0000,2743826,2022-09-21,15.9700,0.0300,0.1879%
PCRFY,7.5900,7.8000,7.5900,7.6900,426172,2022-09-21,7.7600,-0.0700,-0.9021%
PYPL,93.0700,95.6400,91.1300,91.1800,14318330,2022-09-21,91.6300,-0.4500,-0.4911%
PSO,10.0100,10.0450,9.8800,9.8800,283591,2022-09-21,10.0400,-0.1600,-1.5936%
PEP,169.8800,172.0300,168.3400,168.4400,5067933,2022-09-21,168.9200,-0.4800,-0.2842%
PTRCY,42.8000,43.7500,42.8000,43.6300,56430,2022-09-21,42.5000,1.1300,2.6588%
PBR,13.6700,13.7300,13.3400,13.4300,25222392,2022-09-21,13.5400,-0.1100,-0.8124%
PFE,44.8100,44.9800,43.9000,43.9200,17037128,2022-09-21,44.7700,-0.8500,-1.8986%
PSX,84.8500,84.9050,81.2000,81.2700,2816282,2022-09-21,83.2200,-1.9500,-2.3432%
PBI,2.5600,2.5800,2.4700,2.4800,1346711,2022-09-21,2.5400,-0.0600,-2.3622%
PKX,42.7400,43.6000,42.3700,42.3700,482557,2022-09-21,42.8200,-0.4500,-1.0509%
PG,138.0800,138.2000,135.7100,135.7300,6204631,2022-09-21,137.5000,-1.7700,-1.2873%
QCOM,125.4400,129.7900,124.5000,124.6200,7983416,2022-09-21,124.7700,-0.1500,-0.1202%
RTX,87.1600,87.9900,84.2800,84.3200,6931938,2022-09-21,85.1500,-0.8300,-0.9748%
