01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
SID,2.6100,2.6300,2.5400,2.6200,2629188,2022-10-12,2.6400,-0.0200,-0.7576%
CSCO,39.7000,39.8600,39.2500,39.2700,16913954,2022-10-12,39.5800,-0.3100,-0.7832%
C,40.3900,41.3600,40.0450,40.8400,19405825,2022-10-12,40.4500,0.3900,0.9642%
KO,55.2300,56.0365,55.0400,55.1400,18210163,2022-10-12,54.4800,0.6600,1.2115%
KOF,60.1800,60.1800,58.2600,58.7300,471885,2022-10-12,59.3700,-0.6400,-1.0780%
CDE,3.5100,3.6800,3.4299,3.6700,4445604,2022-10-12,3.5200,0.1500,4.2614%
COIN,69.7400,71.8500,67.8200,69.9500,8938968,2022-10-12,70.1600,-0.2100,-0.2993%
CL,69.2300,69.8050,69.0650,69.1100,2812173,2022-10-12,69.0500,0.0600,0.0869%
GLW,29.9300,30.3600,29.7705,30.0800,3598115,2022-10-12,29.9000,0.1800,0.6020%
CAAP,7.1300,7.3340,7.1200,7.2100,40276,2022-10-12,7.1800,0.0300,0.4178%
COST,474.3200,479.7400,466.3000,466.3800,2040650,2022-10-12,472.0200,-5.6400,-1.1949%
CS,4.2500,4.3200,4.1500,4.2500,17215960,2022-10-12,4.2400,0.0100,0.2358%
,,,,,,,,,
DE,362.9200,364.2600,358.4500,361.2100,1173953,2022-10-12,363.3300,-2.1200,-0.5835%
DESP,6.0300,6.1400,5.9800,6.0000,238203,2022-10-12,6.0600,-0.0600,-0.9901%
,,,,,,,,,
DEO,164.6400,167.0200,164.2800,166.3000,415872,2022-10-12,163.9800,2.3200,1.4148%
DOCU,44.9300,45.7112,43.3301,45.3500,5805281,2022-10-12,44.5400,0.8100,1.8186%
DOW,43.9400,44.2297,43.5400,43.8100,4975850,2022-10-12,43.9500,-0.1400,-0.3185%
DD,51.6900,52.1100,51.2500,51.5800,2304623,2022-10-12,51.8000,-0.2200,-0.4247%
,,,,,,,,,
EBAY,36.9900,37.2450,36.6100,37.1300,6162601,2022-10-12,36.9500,0.1800,0.4871%
EA,119.3400,120.2000,118.7900,118.8800,1140812,2022-10-12,119.2500,-0.3700,-0.3103%
LLY,327.3800,333.6500,323.8800,324.5700,1761554,2022-10-12,327.6000,-3.0300,-0.9249%
,,,,,,,,,
ERJ,9.0500,9.0500,8.7500,8.9300,1763007,2022-10-12,9.1700,-0.2400,-2.6172%
E,21.9800,22.2100,21.8850,21.9500,306879,2022-10-12,22.1500,-0.2000,-0.9029%
EFX,164.6800,166.6000,162.1200,164.7000,826052,2022-10-12,163.8200,0.8800,0.5372%
ERIC,6.0400,6.0850,6.0100,6.0200,7688443,2022-10-12,5.9800,0.0400,0.6689%
ETSY,106.7700,108.2500,102.8900,106.1600,2414399,2022-10-12,105.6000,0.5600,0.5303%
XOM,97.5000,98.9100,97.2300,98.4300,12602672,2022-10-12,98.0000,0.4300,0.4388%
FNMA,0.5000,0.5000,0.4830,0.4875,1822602,2022-10-12,0.4925,-0.0050,-1.0152%
FDX,152.0700,155.0400,151.6506,152.8900,2426669,2022-10-12,152.0800,0.8100,0.5326%
FSLR,131.4000,131.8500,125.8100,126.8800,2864757,2022-10-12,131.3200,-4.4400,-3.3811%
FMX,63.3600,63.3600,62.7600,62.9400,625362,2022-10-12,63.1700,-0.2300,-0.3641%
FMCC,0.5197,0.5269,0.5000,0.5200,1822277,2022-10-12,0.5200,0.0000,0.0000%
FCX,28.9000,28.9700,28.1100,28.8400,15808276,2022-10-12,29.1800,-0.3400,-1.1652%
GRMN,78.6300,79.0000,78.0300,78.4700,678824,2022-10-12,78.5000,-0.0300,-0.0382%
OGZPY,1.1000,1.1000,1.1000,1.1000,0,2022-08-03,1.1000,0.0000,0.0000%
GE,63.6900,65.4200,63.0600,64.7400,5343112,2022-10-12,64.0000,0.7400,1.1562%
GM,32.1200,32.5256,31.6000,32.2000,10787943,2022-10-12,32.0900,0.1100,0.3428%
GPRK,13.9000,13.9000,13.2600,13.4800,318601,2022-10-12,13.9600,-0.4800,-3.4384%
GGB,4.9300,4.9300,4.8000,4.8300,4589991,2022-10-12,4.9300,-0.1000,-2.0284%
GILD,65.8500,66.3700,65.3100,65.3900,6405635,2022-10-12,65.6700,-0.2800,-0.4264%
GLOB,169.4400,170.6400,164.2500,166.8200,382823,2022-10-12,170.1400,-3.3200,-1.9513%
GFI,8.2500,8.3400,8.1200,8.2100,4841944,2022-10-12,8.3100,-0.1000,-1.2034%
GS,293.9900,299.7800,291.7100,295.3100,1756708,2022-10-12,294.2100,1.1000,0.3739%
PAC,137.4100,138.9900,136.9750,137.2000,28702,2022-10-12,138.1400,-0.9400,-0.6805%
ASR,204.0000,207.5300,202.1600,206.4800,38521,2022-10-12,204.8500,1.6300,0.7957%
TV,5.2700,5.3700,5.2200,5.3300,1887768,2022-10-12,5.2700,0.0600,1.1385%
GSK,30.4300,30.6350,30.3200,30.3700,6057388,2022-10-12,30.4300,-0.0600,-0.1972%
HAL,29.3400,30.0350,28.9000,29.8000,8900078,2022-10-12,29.5600,0.2400,0.8119%
HOG,35.1800,35.5700,34.4300,35.4100,967296,2022-10-12,35.2600,0.1500,0.4254%
HMY,2.7600,2.8000,2.6700,2.6900,4719793,2022-10-12,2.7500,-0.0600,-2.1818%
HDB,56.8400,57.5900,56.6350,56.8700,1086532,2022-10-12,56.4700,0.4000,0.7083%
HL,4.3600,4.5700,4.2700,4.5700,8416955,2022-10-12,4.3800,0.1900,4.3379%
HSY,225.9300,227.3900,224.4750,224.5300,943361,2022-10-12,225.4600,-0.9300,-0.4125%
HD,284.4200,284.6425,280.4900,280.5200,2252007,2022-10-12,282.8900,-2.3700,-0.8378%
HNHPF,6.2400,6.4000,6.2400,6.3900,34271,2022-10-12,6.4100,-0.0200,-0.3120%
HMC,21.7700,21.9675,21.6250,21.7600,1508413,2022-10-12,21.9200,-0.1600,-0.7299%
HON,174.0550,175.0000,172.2000,172.7900,2692174,2022-10-12,173.6200,-0.8300,-0.4781%
HWM,32.7200,32.8500,31.7050,32.1100,3846873,2022-10-12,33.0000,-0.8900,-2.6970%
HPQ,24.8600,25.0200,24.6200,24.6900,7850133,2022-10-12,24.7800,-0.0900,-0.3632%
HSBC,24.8600,25.2200,24.7700,25.0100,3333877,2022-10-12,25.1000,-0.0900,-0.3586%
HNPIY,18.5600,18.5600,18.5600,18.5600,0,2022-10-12,18.5600,0.0000,0.0000%
IBN,21.0000,21.0400,20.8700,20.8700,12011666,2022-10-12,21.0000,-0.1300,-0.6190%
INFY,17.1400,17.3050,17.0300,17.1000,11524978,2022-10-12,17.1300,-0.0300,-0.1751%
ING,8.4400,8.5750,8.3950,8.5000,4207884,2022-10-12,8.4200,0.0800,0.9501%
INTC,25.0500,25.5200,24.6600,25.3300,39415757,2022-10-12,25.0400,0.2900,1.1581%
IP,31.8800,31.9150,31.4800,31.5000,2543637,2022-10-12,31.5800,-0.0800,-0.2533%
IBM,118.0000,118.8100,117.2000,117.5700,3315293,2022-10-12,117.8000,-0.2300,-0.1952%
IFF,86.8000,86.8000,84.8300,84.8700,1694480,2022-10-12,86.6000,-1.7300,-1.9977%
ITUB,5.4600,5.4600,5.3000,5.3300,22796582,2022-10-12,5.4400,-0.1100,-2.0221%
JD,46.3400,47.2300,45.6050,46.4000,5137267,2022-10-12,46.2700,0.1300,0.2810%
JNJ,162.9400,164.8800,162.4950,162.6900,4330467,2022-10-12,162.7300,-0.0400,-0.0246%
JCI,51.3500,51.7000,50.7500,51.0300,3810501,2022-10-12,51.0500,-0.0200,-0.0392%
