Apertura,Cantidad_Nominal_Compra,Cantidad_Nominal_Venta,Cantidad_Operaciones,Cierre_Anterior,Denominacion,Estado,Ex,Hora_Cotizacion,Maximo,Minimo,Monto_Operado_Pesos,Precio_Compra,Precio_Promedio,Precio_Promedio_Ponderado,Precio_Venta,Simbolo,Tendencia,Tipo_Liquidacion,Ultimo,Variacion,Vencimiento,Volumen_Nominal
7715.0,6,70,16,7714.0,BANCO COMAFI S.A.,,No,17:00:02,7867.5,7715.0,218234,7474.5,7793.9375,7807.9211,7949.0,BHP,1,Pesos,7867.5,1.99,48hs,28
3341.0,2,2,26,3461.5,BANCO COMAFI S.A.,,No,17:00:02,3398.5,3335.0,909199,3335.0,3374.0,3370.4542,4000.0,BIDU,1,Pesos,3343.5,-3.41,48hs,270
0.0,10,5,,0.0,,,No,,0.0,0.0,0,10.85,0.0,0.0,12.85,BIDUD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
4792.0,5,1,32,4731.0,BANCO COMAFI S.A.,,No,17:00:02,4918.5,4792.0,12238236,4590.0,4845.7969,4859.505,4900.0,BIIB,1,Pesos,4800.0,1.46,48hs,2498
7960.0,2,1,198,7872.0,BANCO COMAFI S.A.,,No,17:00:02,8090.0,7709.0,22516625,7500.0,7881.7071,7905.6026,8450.0,BIOX,0,Pesos,7999.5,1.62,48hs,2862
27.0,5,4,4,27.0,,,No,17:00:02,27.0,26.0,132,26.1,26.6125,26.4,28.5,BIOXD,-1,Du00f3lar efectivo,26.0,-3.7,48hs,5
1826.5,10,9,42,1765.5,Caja de Valores S.A.,,No,17:00:02,1885.5,1750.0,645714,1300.0,1824.5952,1829.2739,1884.5,BITF,-1,Pesos,1821.5,3.17,48hs,352
6.23,3,2,1,7.8,,,No,17:00:02,6.23,6.23,18,5.8,6.23,6.23,10.5,BITFD,0,Du00f3lar efectivo,6.23,-20.13,48hs,3
6632.5,8,1,5,6487.0,BANCO COMAFI S.A.,,No,17:00:02,6653.5,6537.5,46268,6258.0,6614.8,6591.8158,7265.0,BK,-1,Pesos,6537.5,0.78,48hs,7
7049.5,31,25,9,7019.0,BANCO COMAFI S.A.,,No,17:00:02,7170.0,7049.5,14447332,6376.0,7108.8333,7120.9013,7250.0,BMY,1,Pesos,7170.0,2.15,48hs,2045
5525.0,1,20,35,5445.0,BANCO COMAFI S.A.,,No,17:00:02,5570.0,5468.0,6361778,5469.0,5538.2857,5545.739,5600.0,BNG,-1,Pesos,5496.5,0.95,48hs,1147
0.0,10,315,,0.0,,,No,,0.0,0.0,0,18.5,0.0,0.0,18.7,BNGD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
1875.5,2010,188,24,1894.5,BANCO COMAFI S.A.,,No,17:00:02,1905.0,1871.5,477144,1852.5,1890.9583,1889.4933,2600.0,BP,0,Pesos,1884.5,-0.53,48hs,252
